factor,environment,metric,anchor_value,anchor_metric,curve_min,curve_max,curve_range,n_swept_values,min_seeds_per_value,verdict
ridge,Hopper-v5,far_spearman,0.0001,0.6390582712292177,0.6322019272952365,0.6467405004995777,0.014538573204341154,9,27,flat
ridge,Humanoid-v5,id_rmse,0.01,60.123224046495224,60.12283395837854,606.4819405167191,546.3591065583405,9,27,worse
ridge,Humanoid-v5,far_nll,0.01,4.010165046762537,4.00842637485928,4.048864859121817,0.0404384842625376,9,27,flat
ridge,Humanoid-v5,far_auroc,0.01,0.3443490824074074,0.32017646981481485,0.38293177740740736,0.06275530759259251,9,27,worse
ridge,Humanoid-v5,far_spearman,0.01,0.756825451954022,0.6955900186839581,0.771043985395525,0.0754539667115669,9,27,worse
ridge,HumanoidStandup-v5,id_rmse,0.01,41.32409872832122,40.99590591148094,585.6609759860569,544.665070074576,9,27,worse
ridge,HumanoidStandup-v5,far_nll,0.01,5.865887995119448,5.778960386912028,7.398119290669759,1.6191589037577305,9,27,sharp
ridge,HumanoidStandup-v5,far_auroc,0.01,0.9276984707407407,0.8373938101851851,0.9736158311111112,0.13622202092592606,9,27,sharp
ridge,HumanoidStandup-v5,far_spearman,0.01,0.7170697647327373,0.7154107460978594,0.9041885706032466,0.18877782450538727,9,27,flat
ridge,InvertedDoublePendulum-v5,id_rmse,0.0001,0.04266555879551626,0.02610710359966521,0.7669557023506898,0.7408485987510246,9,26,sharp
ridge,InvertedDoublePendulum-v5,far_nll,0.0001,1.4183602333068848,1.3055940660146566,4.254310286962069,2.948716220947412,9,26,sharp
ridge,InvertedDoublePendulum-v5,far_auroc,0.0001,0.9957522492307693,0.9945715561538461,0.9971411323076923,0.0025695761538462314,9,26,flat
ridge,InvertedDoublePendulum-v5,far_spearman,0.0001,0.9338810579870972,0.9101799155643828,0.9738387070619279,0.06365879149754505,9,26,sharp
ridge,InvertedPendulum-v5,id_rmse,0.0001,0.015547427169692015,0.015425141023185342,0.13420971010166863,0.11878456907848328,9,26,sharp
ridge,InvertedPendulum-v5,far_nll,0.0001,-0.7121493957506922,-0.8736551048663946,1.0070868822244496,1.8807419870908442,9,26,sharp
ridge,InvertedPendulum-v5,far_auroc,0.0001,0.9186127555769231,0.8688387100000001,0.9398206713461538,0.07098196134615364,9,26,sharp
ridge,InvertedPendulum-v5,far_spearman,0.0001,0.72573337910235,0.6084884402424545,0.9666939161589856,0.35820547591653107,9,26,sharp
ridge,Pusher-v5,id_rmse,0.0001,0.054730357888799396,0.054468268815141406,0.055333696019190956,0.00086542720404955,9,26,flat
ridge,Pusher-v5,far_nll,0.0001,0.7112529140252334,0.7112529140252334,3.6460239520439734,2.93477103801874,9,26,sharp
ridge,Pusher-v5,far_auroc,0.0001,0.9999968969230769,0.9974992467307693,0.9999968969230769,0.002497650192307632,9,26,flat
ridge,Pusher-v5,far_spearman,0.0001,0.8618079807495025,0.8031084312472072,0.8793871216910174,0.0762786904438102,9,26,worse
ridge,Reacher-v5,id_rmse,0.0001,0.08917244294515017,0.08613463835074348,0.33609882856790835,0.24996419021716487,9,26,sharp
ridge,Reacher-v5,far_nll,0.0001,0.09348944975779604,-0.02939760707466539,1.603072308577024,1.6324699156516893,9,26,sharp
ridge,Reacher-v5,far_auroc,0.0001,0.9932317342307692,0.9534607773076923,0.9932317342307692,0.03977095692307686,9,26,sharp
ridge,Reacher-v5,far_spearman,0.0001,0.8758561766018444,0.8493853607338828,0.8761035917149224,0.026718230981039537,9,26,worse
ridge,Swimmer-v5,id_rmse,0.0001,0.06351186983563278,0.03084486681554047,0.6653861624223215,0.6345412956067811,9,27,sharp
ridge,Swimmer-v5,far_nll,0.0001,1.450780612451059,0.7004353183287161,4.336714400185479,3.636279081856763,9,27,sharp
ridge,Swimmer-v5,far_auroc,0.0001,0.995208498888889,0.995208498888889,0.9994360168518518,0.0042275179629628346,9,27,flat
ridge,Swimmer-v5,far_spearman,0.0001,0.7310512229953162,0.43250550684399874,0.9083656525380103,0.4758601456940115,9,27,sharp
ridge,Walker2d-v5,id_rmse,0.01,0.6138927053522181,0.6138484654603181,0.6163210559774328,0.002472590517114681,9,27,flat
ridge,Walker2d-v5,far_nll,0.01,2.390735723354198,1.98244544311806,3.1147550212012396,1.1323095780831796,9,27,sharp
ridge,Walker2d-v5,far_auroc,0.01,0.9977864733333334,0.9943642892592592,0.9980749805555555,0.003710691296296309,9,27,flat
ridge,Walker2d-v5,far_spearman,0.01,0.3533004039871244,0.3214242141131255,0.35674803358792884,0.03532381947480334,9,27,worse
