sweep,value,is_default,env,seed,family,k,M,subset,lambda_reg,bootstrap_frac,layer_scope,perturbation_size,size_selected_by_valnll,rmse_val,nll_val,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far,train_time,eval_time
bootstrap,0.1,True,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6341995000839233,0.052203428000211716,1.6163321733474731,0.04727266728878021,2.2922918796539307,2.5160930156707764,1.7762129306793213,0.665574565,0.8554177949999999,0.97738074,11.163654565811157,0.2143723964691162
bootstrap,0.25,False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.25,multi,5.0,True,1.6325397491455078,0.049807049334049225,1.6154279708862305,0.046199243515729904,3.511068344116211,2.6854052543640137,1.9008022546768188,0.651358935,0.818750975,0.9670126200000001,9.805589437484741,0.2063591480255127
bootstrap,0.5,False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.5,multi,5.0,True,1.6320695877075195,0.04986634477972984,1.6153448820114136,0.04716276004910469,3.7447118759155273,2.7580621242523193,1.957182765007019,0.64488572,0.8021901650000001,0.9633919700000001,10.43217420578003,0.20503568649291992
bootstrap,0.75,False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.75,multi,5.0,True,1.6324286460876465,0.05009690672159195,1.615332007408142,0.047621116042137146,3.955409526824951,2.7888567447662354,1.9882951974868774,0.643660835,0.797042665,0.9611180349999999,9.916765928268433,0.20645856857299805
bootstrap,0.99,False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.99,multi,5.0,True,1.6321948766708374,0.05052085593342781,1.6157481670379639,0.04828409478068352,4.023172855377197,2.8011221885681152,2.01153302192688,0.64278057,0.795440185,0.9564391349999999,10.513140201568604,0.20295071601867676
ridge,0.0,True,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6341995000839233,0.052203428000211716,1.6163321733474731,0.04727266728878021,2.2922918796539307,2.5160930156707764,1.7762129306793213,0.665574565,0.8554177949999999,0.97738074,11.163654565811157,0.2143723964691162
ridge,0.0001,False,HalfCheetah-v5,42,random,20,50,10000,0.0001,0.1,multi,5.0,True,1.634183645248413,0.05445517972111702,1.617037296295166,0.04908192902803421,1.9095790386199951,2.5091729164123535,1.7903481721878052,0.6684685100000001,0.8635320150000001,0.9819835100000001,14.119318962097168,0.19832229614257812
ridge,0.01,False,HalfCheetah-v5,42,random,20,50,10000,0.01,0.1,multi,5.0,True,1.6341116428375244,0.051439736038446426,1.6163926124572754,0.04653630405664444,2.739203929901123,2.540287971496582,1.7972296476364136,0.6644148700000001,0.85105944,0.9750306100000001,10.244100093841553,0.21700024604797363
ridge,1.0,False,HalfCheetah-v5,42,random,20,50,10000,1.0,0.1,multi,5.0,True,1.6348462104797363,0.053156498819589615,1.6176177263259888,0.049771782010793686,3.704695701599121,2.6970324516296387,1.9091719388961792,0.6512537350000001,0.81408576,0.96155283,10.862720727920532,0.20601725578308105
ridge,100.0,False,HalfCheetah-v5,42,random,20,50,10000,100.0,0.1,multi,50.0,True,1.6626845598220825,0.11491777002811432,1.6505322456359863,0.11417187750339508,3.200676202774048,2.4805586338043213,1.845337152481079,0.697055585,0.85904152,0.9559608849999999,12.657615184783936,0.21884799003601074
layer,single-block-L0,False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6322325468063354,0.04814651980996132,1.6155520677566528,0.044840406626462936,3.5529727935791016,2.747922420501709,1.9377390146255493,0.646387375,0.812832865,0.96516669,10.867302179336548,0.13531708717346191
layer,"multi-block-L0,2*",True,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6341995000839233,0.052203428000211716,1.6163321733474731,0.04727266728878021,2.2922918796539307,2.5160930156707764,1.7762129306793213,0.665574565,0.8554177949999999,0.97738074,10.073894500732422,0.191697359085083
