role,tier,sample_index,distance_mahal,distance_mahal_recovered,disagreement,sem_lo,sem_hi
scatter,id,3937,13.665534019470215,13.66551879153123,0.24375476415185968,,
scatter,id,2439,13.96160888671875,13.961595713619161,0.23399088573595336,,
scatter,id,7374,14.398241996765137,14.398229610578177,0.2351090268731074,,
scatter,id,643,10.345069885253906,10.345056222650769,0.13601800074958198,,
scatter,id,6281,11.262564659118652,11.262553672366673,0.15030682663540323,,
scatter,id,6896,9.187911033630371,9.18790226385733,0.14574461489220664,,
scatter,id,8489,18.395523071289062,18.39551823552791,0.35116104668480524,,
scatter,id,6445,16.4335994720459,16.433595947523006,0.32396600592126423,,
scatter,id,1223,12.058517456054688,12.058509174250164,0.18049365619669974,,
scatter,id,6612,19.607858657836914,19.607850566059497,0.4689410640832494,,
scatter,id,3030,32.66032409667969,32.66033066162393,0.6477289785355405,,
scatter,id,2456,9.232793807983398,9.2327861563394,0.15355776183649458,,
scatter,id,3147,16.897125244140625,16.89712106901446,0.2037016326578084,,
scatter,id,5742,16.18844223022461,16.188440168333273,0.3358375516339808,,
scatter,id,3128,15.648387908935547,15.648389848450748,0.4793752735408166,,
scatter,id,7462,9.158445358276367,9.158442268342432,0.14944847071769843,,
scatter,id,1799,8.414434432983398,8.41443313198732,0.1115413354872614,,
scatter,id,8663,7.639619827270508,7.639619600579376,0.08642372472449641,,
scatter,id,9122,5.103745937347412,5.103743251443671,0.0418609773472518,,
scatter,id,3924,20.787076950073242,20.78709078876224,0.36621943304856874,,
scatter,id,2591,12.33326244354248,12.33326905350452,0.18177384368795285,,
scatter,id,2640,9.104582786560059,9.104587370029593,0.1147748097145865,,
scatter,id,6944,8.86340045928955,8.863404406105102,0.12351445296200855,,
scatter,id,155,10.8558349609375,10.855843871959566,0.21316015697150967,,
