env,seed,direction,regime,alpha,rel_lin_err_median,rel_by_actual_median,cosine_median,spearman_normlin_normact,remainder_median,norm_actual_median,norm_linear_median,cd_reldiff_eps1e-3,cd_reldiff_eps1e-2
Ant-v5,0,2,far,0.1,2.7006027698516846,0.9473909139633179,0.3316616714000702,0.7470561764044102,0.6302376389503479,0.6934497356414795,0.23078475892543793,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,0.25,1.1399391889572144,0.8269362449645996,0.5909714698791504,0.8492432310807772,0.7052203416824341,0.8747894167900085,0.576961874961853,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,0.5,0.8366034626960754,0.8154910802841187,0.6622304916381836,0.9238415960399011,1.060851812362671,1.200544834136963,1.153923749923706,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,1.0,0.9136992692947388,1.0102522373199463,0.5468837022781372,0.9161434035850897,2.2018892765045166,2.12013840675354,2.307847499847412,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,2.0,1.0282419919967651,1.3722310066223145,0.3451029062271118,0.9083237080927025,4.860532283782959,3.453035354614258,4.615694999694824,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,5.0,1.0536999702453613,2.3965508937835693,0.11276980489492416,0.843607590189755,12.57210636138916,5.227980613708496,11.539237976074219,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,10.0,1.016675353050232,4.826892852783203,0.03778451681137085,0.8325988149703745,23.638042449951172,4.77220344543457,23.078475952148438,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,20.0,1.002685308456421,9.231264114379883,0.01467093639075756,0.7749853746343659,46.51677703857422,4.901316165924072,46.156951904296875,0.032088011503219604,0.032088011503219604
Ant-v5,0,2,far,50.0,1.0005913972854614,20.556541442871094,0.0042056553065776825,0.7399519987999701,116.43659973144531,5.402347564697266,115.39237976074219,0.032088011503219604,0.032088011503219604
Ant-v5,0,3,id,0.05,0.16216686367988586,0.15873757004737854,0.9873590469360352,0.9890377259431486,0.001337351044639945,0.0077979047782719135,0.007622912526130676,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,0.1,0.13565513491630554,0.1365884691476822,0.9913287162780762,0.9946928673216833,0.002581481821835041,0.01525074616074562,0.015245825052261353,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,0.25,0.23862354457378387,0.2456207275390625,0.97296142578125,0.9850566264156606,0.010761858895421028,0.0368986576795578,0.03811456263065338,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,0.5,0.42185327410697937,0.45315003395080566,0.9105170965194702,0.9703967599189981,0.034452006220817566,0.07087603211402893,0.07622912526130676,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,1.0,0.6519863605499268,0.7457818388938904,0.7743396162986755,0.9375399384984625,0.10588688403367996,0.12770575284957886,0.15245825052261353,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,2.0,0.9002496004104614,1.212627649307251,0.5014525055885315,0.8865701642541065,0.2777004539966583,0.21579201519489288,0.30491650104522705,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,5.0,1.0383954048156738,2.156587839126587,0.1719643771648407,0.8134103352583817,0.7742950916290283,0.3517090082168579,0.7622912526130676,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,10.0,1.0311781167984009,3.6336374282836914,0.04134594276547432,0.745670141753544,1.5459593534469604,0.43906641006469727,1.5245825052261353,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,20.0,1.0124175548553467,6.285124778747559,-0.0018738281214609742,0.7188269706742669,3.0265533924102783,0.4813173711299896,3.0491650104522705,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,id,50.0,1.0030834674835205,15.239496231079102,-0.016150379553437233,0.702740568514213,7.599160671234131,0.5170763731002808,7.622912406921387,0.03598544001579285,0.03598544001579285
Ant-v5,0,3,near,0.05,0.3184080719947815,0.3049428462982178,0.9527076482772827,0.9288937223430588,0.005445557646453381,0.018320294097065926,0.017006751149892807,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,0.1,0.2147139310836792,0.2081124484539032,0.9781321287155151,0.9588149703742596,0.006918095052242279,0.03517694026231766,0.034013502299785614,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,0.25,0.2658442556858063,0.2749558985233307,0.9649167060852051,0.9749043726093154,0.02246268093585968,0.08461830765008926,0.08503375947475433,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,0.5,0.415621817111969,0.4288824796676636,0.9123574495315552,0.9758598964974126,0.06953856348991394,0.16383981704711914,0.17006751894950867,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,1.0,0.6356521248817444,0.6680806875228882,0.7888872027397156,0.963747093677342,0.20398899912834167,0.31120628118515015,0.34013503789901733,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,2.0,0.905841588973999,1.0851831436157227,0.5087387561798096,0.920841521038026,0.5887510180473328,0.5792593955993652,0.6802700757980347,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,5.0,1.0533266067504883,1.7208565473556519,0.22576190531253815,0.855463886597165,1.760717511177063,1.029517412185669,1.7006752490997314,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,10.0,1.0390326976776123,2.7856733798980713,0.0853060781955719,0.8225590639765995,3.3549256324768066,1.2700241804122925,3.401350498199463,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,20.0,1.015298843383789,4.850092887878418,0.03423680365085602,0.7988524713117828,6.706083297729492,1.446855068206787,6.802700996398926,0.033482715487480164,0.033482715487480164
Ant-v5,0,3,near,50.0,1.0010707378387451,11.574369430541992,0.037224967032670975,0.7800180004500114,16.880929946899414,1.471163034439087,17.006752014160156,0.033482715487480164,0.033482715487480164
